Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Solano County Library - Vallejo John F. Kennedy Library,505 Santa Clara Street,Vallejo,CA,94590,1-866-572-7587,"Mon-Thurs 9AM-8PM, Fri&Sat 9AM-5PM, Sun 12PM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Vallejo Springstowne Library,1003 Oakwood Avenue,Vallejo,CA,94591,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Sonoma County Library -  Administration,6135 State Farm Drive,Rohnert Park,CA,94928,707-545-0831,,https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,All,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library -  Rincon Valley Regional Library,6959 Montecito Blvd.,Santa Rosa ,CA,95409,707-537-0162,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Santa Rosa,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Central Santa Rosa Library  ,211 E Street,Santa Rosa ,CA,95404,707-894-5271,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00am-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Santa Rosa,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Cloverdale Regional Library,401 N Cloverdale Blvd. ,Cloverdale,CA,95425,707-894-5271,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00am-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Cloverdale,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Forestville Community Library,7050 Covey Road,Forestville,CA,95436,707-887-7654,"Mon-Fri 3:00pm-7:00pm, Sat 10:00am-2:00pm, Sun Closed",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Forestville,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Guerneville Regional Library,14107 Armstrong Woods Rd.,Guerneville,CA,95446,707-869-9004,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Guerneville,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Healdsburg Regional Library,139 Piper Street,Healdsburg,CA,95448,707-433-3772,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Healdsburg,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - History and Geneology Library,725 3rd St. ,Santa Rosa ,CA,95404,707-308-3212,"Tue-Sat 11:00am-5:00pm, Mon & Sun Closed",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Santa Rosa,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Northwest Regional Library,150 Coddingtown Center,Santa Rosa ,CA,95401,707-546-2265,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Northwest,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Occidental Community Library,73 Main Street,Occidental ,CA,95465,707-874-3080,"Mon 10:00am-2:00pm, Tue 1:00pm-5:00pm, Wed 10:00am-2:00pm, Thu 1:00pm-5:00pm, Fri-Sat 10:00am-2:00pm, Sun Closed",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Occidental,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Petaluma Regional Library,100 Fairgrounds Dr.,Petaluma,CA,94952,707-763-9801,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Petaluma,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Rohnert Park - Cotati Regional Library,6250 Lynne Condé Way,Rohnert Park,CA,94928,707-581-9121,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,"Rohnert Park, Cotati",Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Roseland Regional Library,470 Sebastopol Rd. ,Santa Rosa ,CA,95407,707-755-2029,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Santa Rosa,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Sonoma Valley Regional Library,755 West Napa St. ,Sonoma,CA,95476,707-966-5217,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Sonoma,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Sonoma County Library - Windsor Regional Library,9291 Old Redwood Highway,Windsor,CA,95492,707-838-1020,"Mon 10:00am-6:00pm, Tue-Wed 10:00am-8:00pm, Thu-Sat 10:00pm-6:00pm, Sun 1:00pm-5:00pm",https:/sonomalibrary.org,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,Library,Digital literacy/skills training,County-wide or across multiple counties,Sonoma,Windsor,Both,No,Yes,"Aging Individuals, Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities,Rural Communities, Other","English, Spanish",Information sharing,,,,
Southwest Community Corporation- IT Bookman Community Center,446 Randolph Street,San Francisco,CA,94132,415-586-8020,M-F 9:00-5:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Tulare County Library - Alpaugh,3816 Ave 54,Alpaugh,CA,93201,,,https://www.tularecountylibrary.org/,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,Library,"Locating low-cost internet service programs
Enrollment assistance in low-cost internet service programs
Digital navigation (in-person or virtual/call center)
Digital literacy & skills training
Technical support
Public Wi-Fi
Computer center(s)
Online educational resources
Workforce development resources",County-wide or across multiple counties,Tulare ,Alpaugh,Both,No,Yes,All,"English, Spanish",Other,,,,
Tulare County Library - Dinuba,150 S I St,Dinuba,CA,93618,,,https://www.tularecountylibrary.org/,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,Library,"Locating low-cost internet service programs
Enrollment assistance in low-cost internet service programs
Digital navigation (in-person or virtual/call center)
Digital literacy & skills training
Technical support
Public Wi-Fi
Computer center(s)
Online educational resources
Workforce development resources",County-wide or across multiple counties,Tulare ,Dinuba,Both,No,Yes,All,"English, Spanish",Other,,,,
Tulare County Library - Earlimart,780 E Washington Ave,Earlimart,CA,93219,,,https://www.tularecountylibrary.org/,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,Library,"Locating low-cost internet service programs
Enrollment assistance in low-cost internet service programs
Digital navigation (in-person or virtual/call center)
Digital literacy & skills training
Technical support
Public Wi-Fi
Computer center(s)
Online educational resources
Workforce development resources",County-wide or across multiple counties,Tulare ,Earlimart,Both,No,Yes,All,"English, Spanish",Other,,,,
Tulare County Library - Exeter,230 E Chestnut,Exeter,CA,93221,,,https://www.tularecountylibrary.org/,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,Library,"Locating low-cost internet service programs
Enrollment assistance in low-cost internet service programs
Digital navigation (in-person or virtual/call center)
Digital literacy & skills training
Technical support
Public Wi-Fi
Computer center(s)
Online educational resources
Workforce development resources",County-wide or across multiple counties,Tulare ,Exeter,Both,No,Yes,All,"English, Spanish",Other,,,,
