Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Redwood City Public Library,1044 Middlefield Road,Redwood City,CA,94063,'+16507807035,https://www.redwoodcity.org/departments/library,Sarah LaTorra,Division Manger of Customer Experience,slatorra@redwoodcity.org,Redwood City Public Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,,In-Person,,Schaberg Branch Library,Redwood City,'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,Schaberg Branch Library,Redwood City,'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,Schaberg Branch Library,Redwood City,'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,Schaberg Branch Library,Redwood City,'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,Schaberg Branch Library,Redwood City,'+16507807010,"M-Th 10am-7pm, F Closed, Sa 10am-5pm, Su Closed",https://www.redwoodcity.org/departments/library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Partnership opportunities",No. Our services are offered free of cost.,11/21/2025 11:14
Tulare County Library,200 W. Oaks Ave,Visalia,CA,93291,'+15597132720,https://www.tularecountylibrary.org,Faythe Arredondo,Librarian V,faythe.arredondo@tularecountylibrary.org,Tulare County Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Tulare,,Virtually,https://www.tularecountylibrary.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/2025 10:52
Benicia Public Library,150 E L Street,Benicia,CA,94510,'+17077464343,https://www.benicialibrary.org,Jennifer Baker,City Librarian,jbaker@ci.benicia.ca.us,Benicia Public Library,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Solano,,Virtually,https://www.benicialibrary.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/2025 10:50
Benicia Public Library,150 E L Street,Benicia,CA,94510,'+17077464343,https://www.benicialibrary.org,Jennifer Baker,City Librarian,jbaker@ci.benicia.ca.us,Benicia Public Library,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Solano,,In-Person,,,Benicia,'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,,Benicia,'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,,Benicia,'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,,Benicia,'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,,Benicia,'+17077464343,"Mon-Thur: 10am to 9pm, Fri-Sun: 12pm-6pm",https://www.benicialibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/2025 10:50
Beaumont Library District,125 E. 8th St.,Beaumont,CA,92223,'+19518451357,https://mybld.org,Devon Kimler,Librarian,devon.kimler@mybld.org,Beaumont Library District,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Riverside,,Virtually,https://www.mybld.org/eresources,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish",,,11/21/2025 10:38
Beaumont Library District,125 E. 8th St.,Beaumont,CA,92223,'+19518451357,https://mybld.org,Devon Kimler,Librarian,devon.kimler@mybld.org,Beaumont Library District,,"Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Riverside,,In-Person,,,Beaumont,'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,,Beaumont,'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,,Beaumont,'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,,Beaumont,'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,,Beaumont,'+19518451357,10 AM - 5 PM Mon. Tue. Thur. Fri. / 1 PM - 5 PM Wed. Sat. Sun.,https://mybld.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish",,,11/21/2025 10:38
Watsonville Public Library,"275 Main Street, Suite 100",Watsonville,CA,95076,'+18317683400,https://www.watsonvillelibrary.gov,Alicia Martinez,Library Director,alicia.martinez@watsonville.gov,Watsonville Public Library,,"Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Cruz,,In-Person,,,Watsonville,'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,,Watsonville,'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,,Watsonville,'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,,Watsonville,'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,,Watsonville,'+18317683400,"Monday - Thursday 10:00am-8:00pm, Fridays 10:00-6:00pm and Saturdays 12:00pm-4:00pm",https://watsonville.gov/1917/Online-Services,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/2025 9:54
Watsonville Public Library,"275 Main Street, Suite 100",Watsonville,CA,95076,'+18317683400,https://www.watsonvillelibrary.gov,Alicia Martinez,Library Director,alicia.martinez@watsonville.gov,Watsonville Public Library,,"Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Cruz,,In-Person,,Freedom Branch Library,Freedom,'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,Freedom Branch Library,Freedom,'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,Freedom Branch Library,Freedom,'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,Freedom Branch Library,Freedom,'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,Freedom Branch Library,Freedom,'+18317683420,Tuesday - Friday 10:00am-6:00pm and Saturdays 12:00pm-4:00pm,https://watsonville.gov/1917/Online-Services,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/21/2025 9:54
Mendocino County Law Library,"Courthouse, Room 307",Ukiah,CA,95482,'+17074634201,https://www.mendocinocounty.gov/government/affiliated-agencies/law-library,Daniel Helsel,Director,lawlib@pacific.net,Mendocino County Law Library,,"Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mendocino,,In-Person,,,Ukiah,'+17074634201,M-F 9-4,,,Ukiah,'+17074634201,M-F 9-4,,,Ukiah,'+17074634201,M-F 9-4,,,Ukiah,'+17074634201,M-F 9-4,,,Ukiah,'+17074634201,M-F 9-4,,No. Our services are offered free of cost.,"Yes, Rural Communities",English,Information sharing,No. Our services are offered free of cost.,11/21/2025 9:46
Mendocino County Law Library,"Courthouse, Room 307",Ukiah,CA,95482,'+17074634201,https://www.mendocinocounty.gov/government/affiliated-agencies/law-library,Daniel Helsel,Director,lawlib@pacific.net,Mendocino County Law Library,,"Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mendocino,,In-Person,,Coast Campus Mendocino Community College,Fort Bragg,'+17079612200,Varies-generally 8:30-4:30 M-F,,Coast Campus Mendocino Community College,Fort Bragg,'+17079612200,Varies-generally 8:30-4:30 M-F,,Coast Campus Mendocino Community College,Fort Bragg,'+17079612200,Varies-generally 8:30-4:30 M-F,,Coast Campus Mendocino Community College,Fort Bragg,'+17079612200,Varies-generally 8:30-4:30 M-F,,Coast Campus Mendocino Community College,Fort Bragg,'+17079612200,Varies-generally 8:30-4:30 M-F,,No. Our services are offered free of cost.,"Yes, Rural Communities",English,Information sharing,No. Our services are offered free of cost.,11/21/2025 9:46
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,Mariposa County Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mariposa,,In-Person,,,Mariposa,'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,,Mariposa,'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,,Mariposa,'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,,Mariposa,'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,,Mariposa,'+12099662140,"Monday 9AM to 4 PM, Tuesday through Thursday 9AM to 7PM, Friday 9AM to 4 PM, Saturday 9AM to 4PM",https://www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/2025 9:38
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,Mariposa County Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mariposa,,In-Person,,El Portal Library,El Portal,'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,El Portal Library,El Portal,'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,El Portal Library,El Portal,'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,El Portal Library,El Portal,'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,El Portal Library,El Portal,'+12093792401,"Tuesday and Thursday, 11:30 AM to 6 PM",www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/2025 9:38
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,Mariposa County Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mariposa,,In-Person,,Red Cloud Library,Coulterville,'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,Red Cloud Library,Coulterville,'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,Red Cloud Library,Coulterville,'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,Red Cloud Library,Coulterville,'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,Red Cloud Library,Coulterville,'+12098783692,Wednesdays: 10:30am to 4pm; Thursdays: 10:30am - 4pm; Saturdays: 11am - 2 pm,www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/2025 9:38
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,Mariposa County Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mariposa,,In-Person,,Yosemite Valley Library,Yosemite,'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,Yosemite Valley Library,Yosemite,'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,Yosemite Valley Library,Yosemite,'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,Yosemite Valley Library,Yosemite,'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,Yosemite Valley Library,Yosemite,'+12093724552,Tuesdays: 10:30am - 5pm; Wednesdays: 10:30am - 5pm,https://www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/2025 9:38
Mariposa County Library,4978 10th STreet,Mariposa,CA,95338,'+12099662140,https://www.mariposalibrary.org,Matt Johnson,County Librarian,mjohnson@mariposacounty.org,Mariposa County Library,,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources",County-wide or across multiple counties,Mariposa,,In-Person,,Wawona Library,Wawona,'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,Wawona Library,Wawona,'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,Wawona Library,Wawona,'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,Wawona Library,Wawona,'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,Wawona Library,Wawona,'+12093756510,Tuesday: 12pm - 5pm; Thursday: 12pm - 5pm; Saturday: 10am - 3pm,https://www.mariposalibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Rural Communities",English,,No. Our services are offered free of cost.,11/21/2025 9:38
